game_id,inning,batting_team,batter,pitch_sequence,event_text,ejection_flag,ejectee,job_code,ump_id,reason
SEA200009110,6,1,marte001,CFX,9/F9,ej,hodgk001,P,scotd901,Throwing at batter
SEA200009230,6,0,staim001,CFBBBB,W.1-2,ej,abbop001,P,nelsj901,Checked swing
SFN200005050,7,0,cirij001,BSFBBC,K+SB2/C,ej,cirij001,P,eddid901,Called third strike
SFN200005050,7,1,kentj001,FBCFC,K/C,ej,kentj001,P,eddid901,Called third strike
SFN200005230,4,1,aurir001,CFBC,K/C,ej,aurir001,P,gibsg901,Balls and strikes
SFN200008190,9,0,galaa001,SCFBBC,K/C,ej,cox-b103,M,relic901,Interference call non-call
SFN200008220,5,0,lee-d002,CCBBC,K/C,ej,lee-d002,P,everm901,Balls and strikes
SFN200009020,9,0,gloar001,BFSS,K,ej,acoso801,C,packs901,Balls and strikes
SLN200004200,3,0,nevip001,BFCFBC,K/C,ej,bochb002,M,younl901,Balls and strikes
SLN200004200,3,0,nevip001,BFCFBC,K/C,ej,nevip001,P,younl901,Balls and strikes
SLN200004220,3,1,tatif001,BFFBX,HR/7.1-H,ej,bellb001,M,kulpr901,Fair/foul call (Reversed)
SLN200009040,3,0,guerv001,BCBBFS,K,ej,guerv001,P,vanvm901,Balls and strikes
TBA200004110,7,1,vaugg001,BCBCBC,K/C,ej,vaugg001,P,millb901,Balls and strikes
TBA200004130,12,0,konep001,CBC,CS2(24),ej,manuj101,M,millb901,Call at 2B
TBA200005020,2,1,flahj001,BBFBX,3/FL,ej,rothl101,M,randt901,Checked swing
TBA200005140,6,0,delgc001,CBSB,SB2,ej,rothl101,M,everm901,Call at 2B
TBA200005280,8,1,difem001,BBBB,W,ej,mesaj001,P,demud901,Throwing at batter
TBA200006110,8,1,vaugg001,FSBB,WP.2-3;1-2,ej,boner001,P,danlk901,Balls and strikes
TBA200007010,3,1,martf001,X,8/F8,ej,hatcb001,C,buckc901,Checked swing
TBA200007010,7,1,smitr003,CFS,K,ej,posaj001,P,reedr901,Fighting with Bobby Smith
TBA200007010,7,1,smitr003,CFS,K,ej,smitr003,P,reedr901,Fighting with Jorge Posada
TBA200007180,9,1,cansj001,BH,HP,ej,rothl101,M,diazl901,Argued opposing pitcher threw at batter
TBA200008290,1,1,willg001,CBFH,HP,ej,rothl101,M,mcclt901,Demanding Pedro Martinez' ejection
TBA200008290,1,1,willg001,CBFH,HP,ej,willg001,P,cuzzp901,Charging mound after HBP
TBA200008290,3,0,garcn001,H,HP,ej,eilad001,P,cuzzp901,Intentional HBP
TBA200008290,7,0,nixot001,BBCX,T8/8D,ej,lidlc001,P,cuzzp901,Throwing at batter
TBA200008290,7,0,nixot001,BBCX,T8/8D,ej,russb001,C,cuzzp901,Throwing at batter
TBA200008290,7,0,daubb001,B.BH,HP,ej,fiort001,P,cuzzp901,Intentional HBP
TBA200008290,7,0,daubb001,B.BH,HP,ej,cardj101,C,cuzzp901,Intentional HBP
TBA200008290,7,1,vaugg001,BSCBBC,K/C,ej,vaugg001,P,cuzzp901,Called third strike
TBA200009300,8,0,lansm001,BBFCS,K,ej,lansm001,P,hollm901,Balls and strikes
TEX200006210,9,0,ortid001,CBFBC,K/C,ej,ortid001,P,wintm901,Balls and strikes
TEX200007030,9,1,alicl001,BBFX,7/F7,ej,oatej101,M,randt901,Balls and strikes
